timestamp,equity
2024-01-01T16:39:00.000000,110224.64893125558
2024-01-02T09:19:00.000000,113724.5626570435
2024-01-03T01:59:00.000000,112184.63286805179
2024-01-03T18:39:00.000000,114071.55666679346
2024-01-04T11:19:00.000000,127281.52200764747
2024-01-05T03:59:00.000000,143660.06940109545
2024-01-05T20:39:00.000000,152112.63331020344
2024-01-06T13:19:00.000000,179339.2754710931
2024-01-07T05:59:00.000000,189329.1919828147
2024-01-07T22:39:00.000000,213418.7401952152
2024-01-08T15:19:00.000000,233620.6884376886
2024-01-09T07:59:00.000000,252211.00941389846
2024-01-10T00:39:00.000000,254180.2371623246
2024-01-10T17:19:00.000000,251070.78524156995
2024-01-11T09:59:00.000000,306279.60412604135
2024-01-12T02:39:00.000000,303162.38969524275
2024-01-12T19:19:00.000000,350560.70869256
2024-01-13T11:59:00.000000,334932.84026845556
2024-01-14T04:39:00.000000,385575.8152785713
2024-01-14T21:19:00.000000,352252.5591619308
2024-01-15T13:59:00.000000,380041.71621332463
2024-01-16T06:39:00.000000,416103.6780960424
2024-01-16T23:19:00.000000,473810.3086892617
2024-01-17T15:59:00.000000,539811.5143994796
2024-01-18T08:39:00.000000,575485.9107467316
2024-01-19T01:19:00.000000,654559.1302194893
2024-01-19T17:59:00.000000,644963.3332207596
2024-01-20T10:39:00.000000,812667.5013254991
2024-01-21T03:19:00.000000,870851.5412574781
2024-01-21T19:59:00.000000,949652.8640254504
2024-01-22T12:39:00.000000,1495946.750912895
2024-01-23T05:19:00.000000,1245025.8504207022
2024-01-23T21:59:00.000000,1340053.110715629
2024-01-24T14:39:00.000000,1785637.8389192014
2024-01-25T07:19:00.000000,1870386.7159119875
2024-01-25T23:59:00.000000,1972149.2289876842
2024-01-26T16:39:00.000000,2048360.2842361755
2024-01-27T09:19:00.000000,2296071.1991800126
2024-01-28T01:59:00.000000,2518847.028762424
2024-01-28T18:39:00.000000,2593786.070580837
2024-01-29T11:19:00.000000,3057502.681255111
2024-01-30T03:59:00.000000,3143737.148866868
2024-01-30T20:39:00.000000,3566888.425992794
2024-01-30T23:59:00.000000,3471629.507172457
